Iteration,Percentages
1,60.9375
2,50.0
3,70.3125
4,67.1875
5,75.0
6,67.1875
7,54.6875
8,59.375
9,65.625
10,48.4375
11,65.625
12,78.125
13,68.75
14,71.875
15,68.75
16,64.0625
17,64.0625
18,62.5
19,75.0
20,62.5
21,64.0625
22,64.0625
23,67.1875
24,64.0625
25,67.1875
26,60.9375
27,64.0625
28,73.4375
29,60.9375
30,60.9375
31,59.375
32,62.5
33,71.875
34,64.0625
35,64.0625
36,53.125
37,51.5625
38,68.75
39,64.0625
40,75.0
41,79.6875
42,53.125
43,62.5
44,65.625
45,50.0
46,64.0625
47,57.8125
48,64.0625
49,71.875
50,68.75
51,68.75
52,60.9375
53,56.25
54,67.1875
55,64.0625
56,65.625
57,65.625
58,64.0625
59,65.625
60,59.375
61,65.625
62,60.9375
63,65.625
64,60.9375
65,67.1875
66,48.4375
67,62.5
68,62.5
69,54.6875
70,73.4375
71,62.5
72,67.1875
73,67.1875
74,64.0625
75,54.6875
76,54.6875
77,71.875
78,59.375
79,64.0625
80,51.5625
81,65.625
82,57.8125
83,64.0625
84,57.8125
85,65.625
86,59.375
87,64.0625
88,71.875
89,65.625
90,73.4375
91,76.5625
92,56.25
93,60.9375
94,62.5
95,54.6875
96,64.0625
97,60.9375
98,59.375
99,56.25
100,53.125
101,64.0625
102,60.9375
103,67.1875
104,60.9375
105,64.0625
106,50.0
107,62.5
108,57.8125
109,67.1875
110,67.1875
111,67.1875
112,59.375
113,67.1875
114,62.5
115,57.8125
116,67.1875
117,65.625
118,67.1875
119,60.9375
120,64.0625
121,64.0625
122,60.9375
123,71.875
124,51.5625
125,56.25
126,65.625
127,70.3125
128,64.0625
129,71.875
130,59.375
131,57.8125
132,62.5
133,54.6875
134,57.8125
135,68.75
136,59.375
137,46.875
138,56.25
139,64.0625
140,71.875
141,60.9375
142,59.375
143,53.125
144,59.375
145,59.375
146,57.8125
147,60.9375
148,60.9375
149,65.625
150,62.5
151,65.625
152,59.375
153,67.1875
154,59.375
155,62.5
156,67.1875
157,62.5
158,56.25
159,60.9375
160,59.375
161,67.1875
162,67.1875
163,65.625
164,59.375
165,64.0625
166,60.9375
167,68.75
168,56.25
169,64.0625
170,57.8125
171,67.1875
172,68.75
173,75.0
174,70.3125
175,79.6875
176,68.75
177,62.5
178,64.0625
179,59.375
180,64.0625
181,56.25
182,68.75
183,64.0625
184,62.5
185,56.25
186,71.875
187,54.6875
188,50.0
189,50.0
190,54.6875
191,62.5
192,53.125
193,56.25
194,70.3125
195,54.6875
196,64.0625
197,68.75
198,57.8125
199,65.625
200,65.625
